Target_id	Tax_id	Gene_id	Gene_name	Gene_alias	Db_xrefs	Chromosome	Map_location	Description	Type_of_gene	TTD_target_id	TTD_target_type
HBTAR005040	9606	9114	ATP6V0D1	ATP6D; ATP6DV; P39; VATX; VMA6; VPATPD	OMIM:607028; HGNC:HGNC:13724; Ensembl:ENSG00000159720	16	16q22.1	ATPase H+ transporting V0 subunit d1	protein-coding	NA	/
HBTAR005041	9606	9117	SEC22C	SEC22L3	OMIM:604028; HGNC:HGNC:16828; Ensembl:ENSG00000093183	3	3p22.1	"SEC22 homolog C, vesicle trafficking protein"	protein-coding	NA	/
HBTAR005042	9606	9118	INA	NEF5; NF-66; TXBP-1	OMIM:605338; HGNC:HGNC:6057; Ensembl:ENSG00000148798	10	10q24.33	internexin neuronal intermediate filament protein alpha	protein-coding	NA	/
HBTAR005043	9606	9120	SLC16A6	MCT6; MCT7	OMIM:603880; HGNC:HGNC:10927; Ensembl:ENSG00000108932	17	17q24.2	solute carrier family 16 member 6	protein-coding	NA	/
HBTAR005044	9606	9121	SLC16A5	MCT5; MCT6	OMIM:603879; HGNC:HGNC:10926; Ensembl:ENSG00000170190	17	17q25.1	solute carrier family 16 member 5	protein-coding	NA	/
HBTAR005045	9606	9122	SLC16A4	MCT4; MCT5	OMIM:603878; HGNC:HGNC:10925; Ensembl:ENSG00000168679	1	1p13.3	solute carrier family 16 member 4	protein-coding	NA	/
HBTAR005046	9606	9123	SLC16A3	MCT 3; MCT 4; MCT-3; MCT-4; MCT3; MCT4	OMIM:603877; HGNC:HGNC:10924; Ensembl:ENSG00000141526	17	17q25.3	solute carrier family 16 member 3	protein-coding	T31788	Research target
HBTAR005047	9606	9124	PDLIM1	CLIM1; CLP-36; CLP36; HEL-S-112; hCLIM1	OMIM:605900; HGNC:HGNC:2067; Ensembl:ENSG00000107438	10	10q23.33	PDZ and LIM domain 1	protein-coding	NA	/
HBTAR005048	9606	9125	CNOT9	CAF40; CT129; RCD-1; RCD1; RQCD1	OMIM:612054; HGNC:HGNC:10445; Ensembl:ENSG00000144580	2	2q35	CCR4-NOT transcription complex subunit 9	protein-coding	NA	/
HBTAR005049	9606	9126	SMC3	BAM; BMH; CDLS3; CSPG6; HCAP; SMC3L1	OMIM:606062; HGNC:HGNC:2468; Ensembl:ENSG00000108055	10	10q25.2	structural maintenance of chromosomes 3	protein-coding	NA	/
HBTAR005050	9606	9127	P2RX6	P2RXL1; P2X6; P2XM	OMIM:608077; HGNC:HGNC:8538; Ensembl:ENSG00000099957	22	22q11.21	purinergic receptor P2X 6	protein-coding	NA	/
HBTAR005051	9606	9128	PRPF4	HPRP4; HPRP4P; PRP4; Prp4p; RP70; SNRNP60	OMIM:607795; HGNC:HGNC:17349; Ensembl:ENSG00000136875	9	9q32	pre-mRNA processing factor 4	protein-coding	NA	/
HBTAR005052	9606	9129	PRPF3	HPRP3; HPRP3P; PRP3; Prp3p; RP18; SNRNP90	OMIM:607301; HGNC:HGNC:17348; Ensembl:ENSG00000117360	1	1q21.2	pre-mRNA processing factor 3	protein-coding	NA	/
HBTAR005053	9606	9130	FAM50A	9F; DXS9928E; HXC-26; HXC26; XAP5	OMIM:300453; HGNC:HGNC:18786; Ensembl:ENSG00000071859	X	Xq28	family with sequence similarity 50 member A	protein-coding	NA	/
HBTAR005054	9606	9131	AIFM1	AIF; AUNX1; CMT2D; CMTX4; COWCK; COXPD6; DFNX5; NADMR; NAMSD; PDCD8; SEMDHL	OMIM:300169; OMIM:300614; OMIM:310490; HGNC:HGNC:8768; Ensembl:ENSG00000156709	X	Xq26.1	apoptosis inducing factor mitochondria associated 1	protein-coding	NA	/
HBTAR005055	9606	9132	KCNQ4	DFNA2; DFNA2A; KV7.4	OMIM:603537; HGNC:HGNC:6298; Ensembl:ENSG00000117013	1	1p34.2	potassium voltage-gated channel subfamily Q member 4	protein-coding	T55916	Research target
HBTAR005056	9606	9133	CCNB2	HsT17299	OMIM:602755; HGNC:HGNC:1580; Ensembl:ENSG00000157456	15	15q22.2	cyclin B2	protein-coding	NA	/
HBTAR005057	9606	9134	CCNE2	CYCE2	OMIM:603775; HGNC:HGNC:1590; Ensembl:ENSG00000175305	8	8q22.1	cyclin E2	protein-coding	T19027	Research target
HBTAR005058	9606	9136	RRP9	RNU3IP2; U3-55K	HGNC:HGNC:16829; Ensembl:ENSG00000114767	3	3p21.2	"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"	protein-coding	NA	/
HBTAR005059	9606	9138	ARHGEF1	GEF1; IMD62; LBCL2; LSC; P115-RHOGEF; SUB1.5	OMIM:601855; HGNC:HGNC:681; Ensembl:ENSG00000076928	19	19q13.2	Rho guanine nucleotide exchange factor 1	protein-coding	NA	/
HBTAR005060	9606	9140	ATG12	APG12; APG12L; FBR93; HAPG12	OMIM:609608; HGNC:HGNC:588; Ensembl:ENSG00000145782	5	5q22.3	autophagy related 12	protein-coding	NA	/
HBTAR005061	9606	9141	PDCD5	TFAR19	OMIM:604583; HGNC:HGNC:8764; Ensembl:ENSG00000105185	19	19q13.11	programmed cell death 5	protein-coding	NA	/
HBTAR005062	9606	9143	SYNGR3	-	OMIM:603927; HGNC:HGNC:11501; Ensembl:ENSG00000127561	16	16p13.3	synaptogyrin 3	protein-coding	NA	/
HBTAR005063	9606	9145	SYNGR1	-	OMIM:603925; HGNC:HGNC:11498; Ensembl:ENSG00000100321	22	22q13.1	synaptogyrin 1	protein-coding	NA	/
HBTAR005064	9606	9146	HGS	HRS	OMIM:604375; HGNC:HGNC:4897; Ensembl:ENSG00000185359	17	17q25.3	hepatocyte growth factor-regulated tyrosine kinase substrate	protein-coding	NA	/
HBTAR005065	9606	9149	DYRK1B	AOMS3; MIRK	OMIM:604556; HGNC:HGNC:3092; Ensembl:ENSG00000105204	19	19q13.2	dual specificity tyrosine phosphorylation regulated kinase 1B	protein-coding	T82720	Patented target
HBTAR005066	9606	9152	SLC6A5	GLYT-2; GLYT2; HKPX3; NET1	OMIM:604159; HGNC:HGNC:11051; Ensembl:ENSG00000165970	11	11p15.1	solute carrier family 6 member 5	protein-coding	T58937	Research target
HBTAR005067	9606	9153	SLC28A2	CNT2; HCNT2; HsT17153; SPNT1	OMIM:606208; HGNC:HGNC:11002; Ensembl:ENSG00000137860	15	15q21.1	solute carrier family 28 member 2	protein-coding	T94627	Research target
HBTAR005068	9606	9154	SLC28A1	CNT1; HCNT1; URCTU	OMIM:606207; HGNC:HGNC:11001; Ensembl:ENSG00000156222	15	15q25.3	solute carrier family 28 member 1	protein-coding	NA	/
HBTAR005069	9606	9156	EXO1	HEX1; hExoI	OMIM:606063; HGNC:HGNC:3511; Ensembl:ENSG00000174371	1	1q43	exonuclease 1	protein-coding	NA	/
HBTAR005070	9606	9158	FIBP	FGFIBP; FIBP-1; TROFAS	OMIM:608296; HGNC:HGNC:3705; Ensembl:ENSG00000172500	11	11q13.1	FGF1 intracellular binding protein	protein-coding	NA	/
HBTAR005071	9606	9159	PCSK7	LPC; PC7; PC8; SPC7	OMIM:604872; HGNC:HGNC:8748; Ensembl:ENSG00000160613	11	11q23.3	proprotein convertase subtilisin/kexin type 7	protein-coding	T33211	Research target
HBTAR005072	9606	9162	DGKI	DGK-IOTA	OMIM:604072; HGNC:HGNC:2855; Ensembl:ENSG00000157680	7	7q33	diacylglycerol kinase iota	protein-coding	NA	/
HBTAR005073	9606	9166	EBAG9	EB9; PDAF	OMIM:605772; HGNC:HGNC:3123; Ensembl:ENSG00000147654	8	8q23.2	estrogen receptor binding site associated antigen 9	protein-coding	NA	/
HBTAR005074	9606	9167	COX7A2L	COX7AR; COX7RP; EB1; SIG81	OMIM:605771; HGNC:HGNC:2289; Ensembl:ENSG00000115944	2	2p21	cytochrome c oxidase subunit 7A2 like	protein-coding	NA	/
HBTAR005075	9606	9168	TMSB10	MIG12; TB10	OMIM:188399; HGNC:HGNC:11879; Ensembl:ENSG00000034510	2	2p11.2	thymosin beta 10	protein-coding	NA	/
HBTAR005076	9606	9169	SCAF11	CASP11; SFRS2IP; SIP1; SRRP129; SRSF2IP	OMIM:603668; HGNC:HGNC:10784; Ensembl:ENSG00000139218	12	12q12	SR-related CTD associated factor 11	protein-coding	NA	/
HBTAR005077	9606	9170	LPAR2	EDG-4; EDG4; LPA-2; LPA2	OMIM:605110; HGNC:HGNC:3168; Ensembl:ENSG00000064547	19	19p13.11	lysophosphatidic acid receptor 2	protein-coding	T39380	Research target
HBTAR005078	9606	9173	IL1RL1	DER4; FIT-1; IL33R; ST2; ST2L; ST2V; T1	OMIM:601203; HGNC:HGNC:5998; Ensembl:ENSG00000115602	2	2q12.1	interleukin 1 receptor like 1	protein-coding	NA	/
HBTAR005079	9606	9175	MAP3K13	LZK; MEKK13; MLK	OMIM:604915; HGNC:HGNC:6852; Ensembl:ENSG00000073803	3	3q27.2	mitogen-activated protein kinase kinase kinase 13	protein-coding	NA	/
HBTAR005080	9606	9177	HTR3B	5-HT3B	OMIM:604654; HGNC:HGNC:5298; Ensembl:ENSG00000149305	11	11q23.2	5-hydroxytryptamine receptor 3B	protein-coding	T58940	Discontinued target
HBTAR005081	9606	9179	AP4M1	CPSQ3; MU-4; MU-ARP2; SPG50	OMIM:602296; HGNC:HGNC:574; Ensembl:ENSG00000221838	7	7q22.1	adaptor related protein complex 4 subunit mu 1	protein-coding	NA	/
HBTAR005082	9606	9180	OSMR	IL-31R-beta; IL-31RB; OSMRB; OSMRbeta; PLCA1	OMIM:601743; HGNC:HGNC:8507; Ensembl:ENSG00000145623	5	5p13.1	oncostatin M receptor	protein-coding	T78567	Research target
HBTAR005083	9606	9182	RASSF9	P-CIP1; PAMCI; PCIP1	OMIM:610383; HGNC:HGNC:15739; Ensembl:ENSG00000198774	12	12q21.31	Ras association domain family member 9	protein-coding	NA	/
HBTAR005084	9606	9183	ZW10	HZW10; KNTC1AP	OMIM:603954; HGNC:HGNC:13194; Ensembl:ENSG00000086827	11	11q23.2	zw10 kinetochore protein	protein-coding	NA	/
HBTAR005085	9606	9184	BUB3	BUB3L; hBUB3	OMIM:603719; HGNC:HGNC:1151; Ensembl:ENSG00000154473	10	10q26.13	BUB3 mitotic checkpoint protein	protein-coding	NA	/
HBTAR005086	9606	9185	REPS2	POB1	OMIM:300317; HGNC:HGNC:9963; Ensembl:ENSG00000169891	X	Xp22.2	RALBP1 associated Eps domain containing 2	protein-coding	NA	/
HBTAR005087	9606	9187	SLC24A1	CSNB1D; HsT17412; NCKX; NCKX1; RODX	OMIM:603617; HGNC:HGNC:10975; Ensembl:ENSG00000074621	15	15q22.31	solute carrier family 24 member 1	protein-coding	NA	/
HBTAR005088	9606	9188	DDX21	GUA; GURDB; RH-II/GU; RH-II/GuA	OMIM:606357; HGNC:HGNC:2744; Ensembl:ENSG00000165732	10	10q22.1	DExD-box helicase 21	protein-coding	NA	/
HBTAR005089	9606	9189	ZBED1	ALTE; DREF; TRAMP; hDREF	OMIM:300178; HGNC:HGNC:447; Ensembl:ENSG00000214717	X|Y	Xp22.33 and Yp11.2	zinc finger BED-type containing 1	protein-coding	NA	/
HBTAR005090	9606	9191	DEDD	CASP8IP1; DEDD1; DEFT; FLDED1; KE05	OMIM:606841; HGNC:HGNC:2755; Ensembl:ENSG00000158796	1	1q23.3	death effector domain containing	protein-coding	NA	/
HBTAR005091	9606	9194	SLC16A7	MCT2	OMIM:603654; HGNC:HGNC:10928; Ensembl:ENSG00000118596	12	12q14.1	solute carrier family 16 member 7	protein-coding	NA	/
HBTAR005092	9606	9196	KCNAB3	AKR6A9; KCNA3.1B; KCNA3B; KV-BETA-3	OMIM:604111; HGNC:HGNC:6230; Ensembl:ENSG00000170049	17	17p13.1	potassium voltage-gated channel subfamily A regulatory beta subunit 3	protein-coding	NA	/
HBTAR005093	9606	9197	SLC33A1	ACATN; AT-1; AT1; CCHLND; SPG42	OMIM:603690; HGNC:HGNC:95; Ensembl:ENSG00000169359	3	3q25.31	solute carrier family 33 member 1	protein-coding	T82577	Successful target
HBTAR005094	9606	9201	DCLK1	CL1; CLICK1; DCAMKL1; DCDC3A; DCLK	OMIM:604742; HGNC:HGNC:2700; Ensembl:ENSG00000133083	13	13q13.3	doublecortin like kinase 1	protein-coding	T42447	Research target
HBTAR005095	9606	9202	ZMYM4	CDIR; MYM; ZNF198L3; ZNF262	OMIM:613568; HGNC:HGNC:13055; Ensembl:ENSG00000146463	1	1p34.3	zinc finger MYM-type containing 4	protein-coding	NA	/
HBTAR005096	9606	9203	ZMYM3	DXS6673E; MYM; XFIM; ZNF198L2; ZNF261	OMIM:300061; HGNC:HGNC:13054; Ensembl:ENSG00000147130	X	Xq13.1	zinc finger MYM-type containing 3	protein-coding	NA	/
HBTAR005097	9606	9204	ZMYM6	Buster2; MYM; ZBED7; ZNF198L4; ZNF258	OMIM:613567; HGNC:HGNC:13050; Ensembl:ENSG00000163867	1	1p34.3	zinc finger MYM-type containing 6	protein-coding	NA	/
HBTAR005098	9606	9205	ZMYM5	HSPC050; MYM; ZNF198L1; ZNF237	OMIM:616443; HGNC:HGNC:13029; Ensembl:ENSG00000132950	13	13q12.11	zinc finger MYM-type containing 5	protein-coding	NA	/
HBTAR005099	9606	9208	LRRFIP1	FLAP-1; FLAP1; FLIIAP1; GCF-2; GCF2; HUFI-1; TRIP	OMIM:603256; HGNC:HGNC:6702; Ensembl:ENSG00000124831	2	2q37.3	LRR binding FLII interacting protein 1	protein-coding	NA	/
HBTAR005100	9606	9210	BMP15	GDF9B; ODG2; POF4	OMIM:300247; HGNC:HGNC:1068; Ensembl:ENSG00000130385	X	Xp11.22	bone morphogenetic protein 15	protein-coding	NA	/
HBTAR005101	9606	9212	AURKB	AIK2; AIM-1; AIM1; ARK-2; ARK2; AurB; IPL1; PPP1R48; STK-1; STK12; STK5; aurkb-sv1; aurkb-sv2	OMIM:604970; HGNC:HGNC:11390; Ensembl:ENSG00000178999	17	17p13.1	aurora kinase B	protein-coding	T77764	Clinical Trial target
HBTAR005102	9606	9213	XPR1	IBGC6; SLC53A1; SYG1; X3	OMIM:605237; HGNC:HGNC:12827; Ensembl:ENSG00000143324	1	1q25.3	xenotropic and polytropic retrovirus receptor 1	protein-coding	NA	/
HBTAR005103	9606	9215	LARGE1	LARGE; MDC1D; MDDGA6; MDDGB6	OMIM:603590; HGNC:HGNC:6511; Ensembl:ENSG00000133424	22	22q12.3	LARGE xylosyl- and glucuronyltransferase 1	protein-coding	NA	/
HBTAR005104	9606	9218	VAPA	VAP-33; VAP-A; VAP33; hVAP-33	OMIM:605703; HGNC:HGNC:12648; Ensembl:ENSG00000101558	18	18p11.22	VAMP associated protein A	protein-coding	NA	/
HBTAR005105	9606	9220	TIAF1	MAJN; SPR210	OMIM:609517; HGNC:HGNC:11803; Ensembl:ENSG00000221995	17	17q11.2	TGFB1-induced anti-apoptotic factor 1	protein-coding	NA	/
HBTAR005106	9606	9221	NOLC1	NOPP130; NOPP140; NS5ATP13; P130; Srp40	OMIM:602394; HGNC:HGNC:15608; Ensembl:ENSG00000166197	10	10q24.32	nucleolar and coiled-body phosphoprotein 1	protein-coding	NA	/
HBTAR005107	9606	9223	MAGI1	AIP-3; AIP3; BAIAP1; BAP-1; BAP1; MAGI-1; MAGI-1b; Magi1d; TNRC19; WWP3	OMIM:602625; HGNC:HGNC:946; Ensembl:ENSG00000151276	3	3p14.1	"membrane associated guanylate kinase, WW and PDZ domain containing 1"	protein-coding	NA	/
HBTAR005108	9606	9227	LRAT	LCA14	OMIM:604863; HGNC:HGNC:6685; Ensembl:ENSG00000121207	4	4q32.1	lecithin retinol acyltransferase	protein-coding	NA	/
HBTAR005109	9606	9230	RAB11B	H-YPT3; NDAGSCW	OMIM:604198; HGNC:HGNC:9761; Ensembl:ENSG00000185236	19	19p13.2	"RAB11B, member RAS oncogene family"	protein-coding	NA	/
HBTAR005110	9606	9231	DLG5	LP-DLG; P-DLG5; PDLG	OMIM:604090; HGNC:HGNC:2904; Ensembl:ENSG00000151208	10	10q22.3	discs large MAGUK scaffold protein 5	protein-coding	NA	/
HBTAR005111	9606	9232	PTTG1	EAP1; HPTTG; PTTG; TUTR1	OMIM:604147; HGNC:HGNC:9690; Ensembl:ENSG00000164611	5	5q33.3	"PTTG1 regulator of sister chromatid separation, securin"	protein-coding	NA	/
HBTAR005112	9606	9235	IL32	IL-32alpha; IL-32beta; IL-32delta; IL-32gamma; NK4; TAIF; TAIFa; TAIFb; TAIFc; TAIFd	OMIM:606001; HGNC:HGNC:16830; Ensembl:ENSG00000008517	16	16p13.3	interleukin 32	protein-coding	T96028	Research target
HBTAR005113	9606	9236	CCPG1	CPR8	OMIM:611326; HGNC:HGNC:24227; Ensembl:ENSG00000260916	15	15q21.3	cell cycle progression 1	protein-coding	NA	/
HBTAR005114	9606	9240	PNMA1	MA1	OMIM:604010; HGNC:HGNC:9158; Ensembl:ENSG00000176903	14	14q24.3	PNMA family member 1	protein-coding	NA	/
HBTAR005115	9606	9241	NOG	SYM1; SYNS1; SYNS1A	OMIM:602991; HGNC:HGNC:7866; Ensembl:ENSG00000183691	17	17q22	noggin	protein-coding	NA	/
HBTAR005116	9606	9242	MSC	ABF-1; ABF1; MYOR; bHLHa22	OMIM:603628; HGNC:HGNC:7321; Ensembl:ENSG00000178860	8	8q13.3	musculin	protein-coding	NA	/
HBTAR005117	9606	9244	CRLF1	CISS; CISS1; CLF; CLF-1; NR6; zcytor5	OMIM:604237; HGNC:HGNC:2364; Ensembl:ENSG00000006016	19	19p13.11	cytokine receptor like factor 1	protein-coding	T94313	Research target
HBTAR005118	9606	9245	GCNT3	C2/4GnT; C24GNT; C2GNT2; C2GNTM; GNTM	OMIM:606836; HGNC:HGNC:4205; Ensembl:ENSG00000140297	15	15q22.2	"glucosaminyl (N-acetyl) transferase 3, mucin type"	protein-coding	NA	/
HBTAR005119	9606	9246	UBE2L6	RIG-B; UBCH8	OMIM:603890; HGNC:HGNC:12490; Ensembl:ENSG00000156587	11	11q12.1	ubiquitin conjugating enzyme E2 L6	protein-coding	NA	/
HBTAR005120	9606	9248	GPR50	H9; Mel1c	OMIM:300207; HGNC:HGNC:4506; Ensembl:ENSG00000102195	X	Xq28	G protein-coupled receptor 50	protein-coding	NA	/
HBTAR005121	9606	9252	RPS6KA5	MSK1; MSPK1; RLPK	OMIM:603607; HGNC:HGNC:10434; Ensembl:ENSG00000100784	14	14q32.11	ribosomal protein S6 kinase A5	protein-coding	T50224	Research target
HBTAR005122	9606	9254	CACNA2D2	CACNA2D; CASVDD	OMIM:607082; HGNC:HGNC:1400; Ensembl:ENSG00000007402	3	3p21.31	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding	T28132	Research target
HBTAR005123	9606	9255	AIMP1	EMAP2; EMAPII; HLD3; SCYE1; p43	OMIM:603605; HGNC:HGNC:10648; Ensembl:ENSG00000164022	4	4q24	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	protein-coding	NA	/
HBTAR005124	9606	9258	MFHAS1	LRRC65; MASL1; ROCO4	OMIM:605352; HGNC:HGNC:16982; Ensembl:ENSG00000147324	8	8p23.1	malignant fibrous histiocytoma amplified sequence 1	protein-coding	NA	/
HBTAR005125	9606	9260	PDLIM7	LMP1; LMP3	OMIM:605903; HGNC:HGNC:22958; Ensembl:ENSG00000196923	5	5q35.3	PDZ and LIM domain 7	protein-coding	NA	/
HBTAR005126	9606	9261	MAPKAPK2	MAPKAP-K2; MK-2; MK2	OMIM:602006; HGNC:HGNC:6887; Ensembl:ENSG00000162889	1	1q32.1	MAPK activated protein kinase 2	protein-coding	T21307	Clinical Trial target
HBTAR005127	9606	9262	STK17B	DRAK2	OMIM:604727; HGNC:HGNC:11396; Ensembl:ENSG00000081320	2	2q32.3	serine/threonine kinase 17b	protein-coding	NA	/
HBTAR005128	9606	9263	STK17A	DRAK1	OMIM:604726; HGNC:HGNC:11395; Ensembl:ENSG00000164543	7	7p13	serine/threonine kinase 17a	protein-coding	T91323	Research target
HBTAR005129	9606	9265	CYTH3	ARNO3; GRP1; PSCD3; cytohesin-3	OMIM:605081; HGNC:HGNC:9504; Ensembl:ENSG00000008256	7	7p22.1	cytohesin 3	protein-coding	NA	/
HBTAR005130	9606	9266	CYTH2	ARNO; CTS18; CTS18.1; PSCD2; PSCD2L; SEC7L; Sec7p-L; Sec7p-like; cytohesin-2	OMIM:602488; HGNC:HGNC:9502; Ensembl:ENSG00000105443	19	19q13.33	cytohesin 2	protein-coding	T85056	Research target
HBTAR005131	9606	9267	CYTH1	B2-1; CYTOHESIN-1; D17S811E; PSCD1; SEC7	OMIM:182115; HGNC:HGNC:9501; Ensembl:ENSG00000108669	17	17q25.3	cytohesin 1	protein-coding	NA	/
HBTAR005132	9606	9275	BCL7B	-	OMIM:605846; HGNC:HGNC:1005; Ensembl:ENSG00000106635	7	7q11.23	BAF chromatin remodeling complex subunit BCL7B	protein-coding	NA	/
HBTAR005133	9606	9276	COPB2	MCPH19; beta'-COP	OMIM:606990; HGNC:HGNC:2232; Ensembl:ENSG00000184432	3	3q23	COPI coat complex subunit beta 2	protein-coding	NA	/
HBTAR005134	9606	9278	ZBTB22	BING1; ZBTB22A; ZNF297; ZNF297A; fru; fruitless	OMIM:611439; HGNC:HGNC:13085; Ensembl:ENSG00000236104	6	6p21.32	zinc finger and BTB domain containing 22	protein-coding	NA	/
HBTAR005135	9606	9282	MED14	CRSP150; CRSP2; CSRP; CXorf4; DRIP150; EXLM1; RGR1; TRAP170	OMIM:300182; HGNC:HGNC:2370; Ensembl:ENSG00000180182	X	Xp11.4	mediator complex subunit 14	protein-coding	NA	/
HBTAR005136	9606	9283	GPR37L1	ET(B)R-LP-2; ETBR-LP-2; ETBRLP2	OMIM:617630; HGNC:HGNC:14923; Ensembl:ENSG00000170075	1	1q32.1	G protein-coupled receptor 37 like 1	protein-coding	NA	/
HBTAR005137	9606	9284	NPIPA1	NPIP; NPIPA; morpheus	OMIM:606406; HGNC:HGNC:7909; Ensembl:ENSG00000183426	16	16p13.11	nuclear pore complex interacting protein family member A1	protein-coding	NA	/
HBTAR005138	9606	9287	TAAR2	GPR58; taR-2	OMIM:604849; HGNC:HGNC:4514; Ensembl:ENSG00000146378	6	6q23.2	trace amine associated receptor 2	protein-coding	NA	/
HBTAR005139	9606	9290	GPR55	LPIR1	OMIM:604107; HGNC:HGNC:4511; Ensembl:ENSG00000135898	2	2q37.1	G protein-coupled receptor 55	protein-coding	T87670	Successful target
HBTAR005140	9606	9293	GPR52	-	OMIM:604106; HGNC:HGNC:4508; Ensembl:ENSG00000203737	1	1q25.1	G protein-coupled receptor 52	protein-coding	NA	/
HBTAR005141	9606	9294	S1PR2	AGR16; DFNB68; EDG-5; EDG5; Gpcr13; H218; LPB2; S1P2	OMIM:605111; HGNC:HGNC:3169; Ensembl:ENSG00000267534	19	19p13.2	sphingosine-1-phosphate receptor 2	protein-coding	T47888	Research target
HBTAR005142	9606	9295	SRSF11	NET2; SFRS11; dJ677H15.2; p54	OMIM:602010; HGNC:HGNC:10782; Ensembl:ENSG00000116754	1	1p31.1	serine and arginine rich splicing factor 11	protein-coding	NA	/
HBTAR005143	9606	9296	ATP6V1F	ATP6S14; VATF; Vma7	OMIM:607160; HGNC:HGNC:16832; Ensembl:ENSG00000128524	7	7q32.1	ATPase H+ transporting V1 subunit F	protein-coding	NA	/
HBTAR005144	9606	9306	SOCS6	CIS-4; CIS4; HSPC060; SOCS-4; SOCS-6; SOCS4; SSI4; STAI4; STATI4	OMIM:605118; HGNC:HGNC:16833; Ensembl:ENSG00000170677	18	18q22.2	suppressor of cytokine signaling 6	protein-coding	NA	/
HBTAR005145	9606	9308	CD83	BL11; HB15	OMIM:604534; HGNC:HGNC:1703; Ensembl:ENSG00000112149	6	6p23	CD83 molecule	protein-coding	T90800	Research target
HBTAR005146	9606	9310	ZNF235	ANF270; HZF6; ZFP93; ZNF270	OMIM:604749; HGNC:HGNC:12866; Ensembl:ENSG00000159917	19	19q13.31	zinc finger protein 235	protein-coding	NA	/
HBTAR005147	9606	9311	ASIC3	ACCN3; DRASIC; SLNAC1; TNaC1	OMIM:611741; HGNC:HGNC:101; Ensembl:ENSG00000213199	7	7q36.1	acid sensing ion channel subunit 3	protein-coding	T95947	Research target
HBTAR005148	9606	9312	KCNB2	KV2.2	OMIM:607738; HGNC:HGNC:6232; Ensembl:ENSG00000182674	8	8q21.11	potassium voltage-gated channel subfamily B member 2	protein-coding	T65932	Research target
HBTAR005149	9606	9313	MMP20	AI2A2; MMP-20	OMIM:604629; HGNC:HGNC:7167; Ensembl:ENSG00000137674	11	11q22.2	matrix metallopeptidase 20	protein-coding	NA	/
HBTAR005150	9606	9314	KLF4	EZF; GKLF	OMIM:602253; HGNC:HGNC:6348; Ensembl:ENSG00000136826	9	9q31.2	Kruppel like factor 4	protein-coding	T81916	Clinical Trial target
HBTAR005151	9606	9315	NREP	C5orf13; D4S114; P311; PRO1873; PTZ17; SEZ17	OMIM:607332; HGNC:HGNC:16834; Ensembl:ENSG00000134986	5	5q22.1	neuronal regeneration related protein	protein-coding	NA	/
HBTAR005152	9606	9317	PTER	HPHRP; RPR-1	OMIM:604446; HGNC:HGNC:9590; Ensembl:ENSG00000165983	10	10p13	phosphotriesterase related	protein-coding	NA	/
HBTAR005153	9606	9318	COPS2	ALIEN; CSN2; SGN2; TRIP15	OMIM:604508; HGNC:HGNC:30747; Ensembl:ENSG00000166200	15	15q21.1	COP9 signalosome subunit 2	protein-coding	NA	/
HBTAR005154	9606	9319	TRIP13	16E1BP; MVA3	OMIM:604507; HGNC:HGNC:12307; Ensembl:ENSG00000071539	5	5p15.33	thyroid hormone receptor interactor 13	protein-coding	NA	/
HBTAR005155	9606	9320	TRIP12	MRD49; TRIP-12; TRIPC; ULF	OMIM:604506; HGNC:HGNC:12306; Ensembl:ENSG00000153827	2	2q36.3	thyroid hormone receptor interactor 12	protein-coding	T24714	Research target
HBTAR005156	9606	9321	TRIP11	ACG1A; CEV14; GMAP-210; GMAP210; ODCD; TRIP-11; TRIP230	OMIM:604505; HGNC:HGNC:12305; Ensembl:ENSG00000100815	14	14q32.12	thyroid hormone receptor interactor 11	protein-coding	NA	/
HBTAR005157	9606	9322	TRIP10	CIP4; HSTP; STOT; STP; TRIP-10	OMIM:604504; HGNC:HGNC:12304; Ensembl:ENSG00000125733	19	19p13.3	thyroid hormone receptor interactor 10	protein-coding	T94364	Research target
HBTAR005158	9606	9324	HMGN3	PNAS-24; PNAS-25; TRIP7	OMIM:604502; HGNC:HGNC:12312; Ensembl:ENSG00000118418	6	6q14.1	high mobility group nucleosomal binding domain 3	protein-coding	NA	/
HBTAR005159	9606	9328	GTF3C5	TFIIIC63; TFIIICepsilon; TFiiiC2-63	OMIM:604890; HGNC:HGNC:4668; Ensembl:ENSG00000148308	9	9q34.13	general transcription factor IIIC subunit 5	protein-coding	NA	/
HBTAR005160	9606	9329	GTF3C4	KAT12; TF3C-delta; TFIII90; TFIIIC290; TFIIIC90; TFIIICDELTA	OMIM:604892; HGNC:HGNC:4667; Ensembl:ENSG00000125484	9	9q34.13	general transcription factor IIIC subunit 4	protein-coding	NA	/
HBTAR005161	9606	9332	CD163	M130; MM130; SCARI1	OMIM:605545; HGNC:HGNC:1631; Ensembl:ENSG00000177575	12	12p13.31	CD163 molecule	protein-coding	T36576	Research target
HBTAR005162	9606	9333	TGM5	PSS2; TGASE5; TGASEX; TGM6; TGMX; TGX	OMIM:603805; HGNC:HGNC:11781; Ensembl:ENSG00000104055	15	15q15.2	transglutaminase 5	protein-coding	NA	/
