Gene.Symbol,Description,Category,Uniprot.ID,Gifts,GC.Id,Relevance.score,GeneCards.Link
MK280073-232,"",RNA Gene,"",3,GC16M048781,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-232
MK280073-234,"",RNA Gene,"",3,GC16M052159,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-234
MK280073-235,"",RNA Gene,"",3,GC16P052339,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-235
MK280073-236,"",RNA Gene,"",3,GC16P053473,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-236
MK280073-237,"",RNA Gene,"",3,GC16P056158,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-237
MK280073-238,"",RNA Gene,"",3,GC16M058784,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-238
MK280073-239,"",RNA Gene,"",3,GC16P059233,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-239
MK280073-240,"",RNA Gene,"",3,GC16M059569,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-240
MK280073-241,"",RNA Gene,"",3,GC16M060830,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-241
MK280073-242,"",RNA Gene,"",3,GC16P063152,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-242
MK280073-244,"",RNA Gene,"",3,GC16M071961,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-244
MK280073-245,"",RNA Gene,"",3,GC16P073510,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-245
MK280073-246,"",RNA Gene,"",3,GC16P073315,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-246
MK280073-248,"",RNA Gene,"",3,GC17M013828,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-248
MK280073-249,"",RNA Gene,"",3,GC17M013829,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-249
MK280073-250,"",RNA Gene,"",3,GC17P012923,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-250
MK280073-251,"",RNA Gene,"",3,GC17M013830,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-251
MK280073-252,"",RNA Gene,"",3,GC17P006534,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-252
MK280073-253,"",RNA Gene,"",3,GC17M013465,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-253
MK280073-255,"",RNA Gene,"",3,GC17M013644,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-255
MK280073-257,"",RNA Gene,"",3,GC17M062104,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-257
MK280073-259,"",RNA Gene,"",3,GC17M062105,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-259
MK280073-260,"",RNA Gene,"",3,GC17M062106,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-260
MK280073-261,"",RNA Gene,"",3,GC17P084497,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-261
MK280073-262,"",RNA Gene,"",3,GC17P084498,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-262
MK280073-264,"",RNA Gene,"",3,GC17P084499,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-264
MK280073-265,"",RNA Gene,"",3,GC17M062109,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-265
MK280073-266,"",RNA Gene,"",3,GC17M062110,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-266
MK280073-267,"",RNA Gene,"",3,GC17M062111,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-267
MK280073-268,"",RNA Gene,"",3,GC17P084500,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-268
MK280073-269,"",RNA Gene,"",3,GC17P084501,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-269
MK280073-270,"",RNA Gene,"",3,GC17P084502,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-270
MK280073-271,"",RNA Gene,"",3,GC17P084503,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-271
MK280073-272,"",RNA Gene,"",3,GC17M069022,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-272
MK280073-274,"",RNA Gene,"",3,GC17M071366,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-274
MK280073-275,"",RNA Gene,"",3,GC17P079239,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-275
MK280073-276,"",RNA Gene,"",3,GC18M000980,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-276
MK280073-277,"",RNA Gene,"",3,GC18P001339,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-277
MK280073-278,"",RNA Gene,"",3,GC18M001534,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-278
MK280073-279,"",RNA Gene,"",3,GC18P002344,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-279
MK280073-281,"",RNA Gene,"",3,GC18M005860,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-281
MK280073-282,"",RNA Gene,"",3,GC18P019665,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-282
MK280073-284,"",RNA Gene,"",3,GC18P022889,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-284
MK280073-285,"",RNA Gene,"",3,GC18P032398,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-285
MK280073-286,"",RNA Gene,"",3,GC18P034898,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-286
MK280073-287,"",RNA Gene,"",3,GC18P035764,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-287
MK280073-288,"",RNA Gene,"",3,GC18P035795,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-288
MK280073-289,"",RNA Gene,"",3,GC18P037077,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-289
MK280073-290,"",RNA Gene,"",3,GC18M037921,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-290
MK280073-291,"",RNA Gene,"",3,GC18P042664,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-291
MK280073-292,"",RNA Gene,"",3,GC18P043289,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-292
MK280073-293,"",RNA Gene,"",3,GC18P044445,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-293
MK280073-294,"",RNA Gene,"",3,GC18P046745,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-294
MK280073-297,"",RNA Gene,"",3,GC18M052416,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-297
MK280073-298,"",RNA Gene,"",3,GC18M054403,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-298
MK280073-299,"",RNA Gene,"",3,GC18M054573,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-299
MK280073-303,"",RNA Gene,"",3,GC18M062052,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-303
MK280073-304,"",RNA Gene,"",3,GC18P070739,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-304
MK280073-305,"",RNA Gene,"",3,GC18M070858,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-305
MK280073-306,"",RNA Gene,"",3,GC18M077536,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-306
MK280073-307,"",RNA Gene,"",3,GC18M079288,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-307
MK280073-308,"",RNA Gene,"",3,GC19M009651,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-308
MK280073-309,"",RNA Gene,"",3,GC19P082594,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-309
MK280073-310,"",RNA Gene,"",3,GC19M015643,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-310
MK280073-311,"",RNA Gene,"",3,GC19M015623,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-311
MK280073-312,"",RNA Gene,"",3,GC19M081136,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-312
MK280073-314,"",RNA Gene,"",3,GC19P087131,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-314
MK280073-315,"",RNA Gene,"",3,GC19M081138,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-315
MK280073-316,"",RNA Gene,"",3,GC19P087132,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-316
MK280073-317,"",RNA Gene,"",3,GC19P087133,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-317
MK280073-318,"",RNA Gene,"",3,GC19P087134,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-318
MK280073-319,"",RNA Gene,"",3,GC19M081139,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-319
MK280073-320,"",RNA Gene,"",3,GC19M081140,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-320
MK280073-321,"",RNA Gene,"",3,GC19M081141,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-321
MK280073-322,"",RNA Gene,"",3,GC19M081142,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-322
MK280073-323,"",RNA Gene,"",3,GC19P087135,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-323
MK280073-324,"",RNA Gene,"",3,GC19M081143,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-324
MK280073-325,"",RNA Gene,"",3,GC19P087136,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-325
MK280073-326,"",RNA Gene,"",3,GC19P087137,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-326
MK280073-328,"",RNA Gene,"",3,GC19M081145,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-328
MK280073-329,"",RNA Gene,"",3,GC19P087138,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-329
MK280073-330,"",RNA Gene,"",3,GC19M081146,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-330
MK280073-331,"",RNA Gene,"",3,GC19P087139,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-331
MK280073-332,"",RNA Gene,"",3,GC19P087140,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-332
MK280073-333,"",RNA Gene,"",3,GC19P087141,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-333
MK280073-335,"",RNA Gene,"",3,GC19P087143,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-335
MK280073-336,"",RNA Gene,"",3,GC02P003086,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-336
MK280073-337,"",RNA Gene,"",3,GC02P003373,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-337
MK280073-338,"",RNA Gene,"",3,GC02M004366,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-338
MK280073-339,"",RNA Gene,"",3,GC02P004652,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-339
MK280073-340,"",RNA Gene,"",3,GC02P008130,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-340
MK280073-341,"",RNA Gene,"",3,GC02M014506,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-341
MK280073-342,"",RNA Gene,"",3,GC02P016879,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-342
MK280073-343,"",RNA Gene,"",3,GC02M021908,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-343
MK280073-344,"",RNA Gene,"",3,GC02P033180,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-344
MK280073-347,"",RNA Gene,"",3,GC02M063091,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-347
MK280073-348,"",RNA Gene,"",3,GC02M066351,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-348
MK280073-350,"",RNA Gene,"",3,GC02M076726,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-350
MK280073-356,"",RNA Gene,"",3,GC02P155969,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-356
MK280073-358,"",RNA Gene,"",3,GC02M157101,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-358
MK280073-360,"",RNA Gene,"",3,GC02P158226,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-360
MK280073-361,"",RNA Gene,"",3,GC02M179756,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-361
MK280073-362,"",RNA Gene,"",3,GC02P183795,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-362
MK280073-363,"",RNA Gene,"",3,GC02P210354,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-363
MK280073-365,"",RNA Gene,"",3,GC02P216458,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-365
MK280073-366,"",RNA Gene,"",3,GC02P223015,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-366
MK280073-367,"",RNA Gene,"",3,GC02M237847,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-367
MK280073-368,"",RNA Gene,"",3,GC20P001220,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-368
MK280073-369,"",RNA Gene,"",3,GC20M003819,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-369
MK280073-370,"",RNA Gene,"",3,GC20M004287,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-370
MK280073-371,"",RNA Gene,"",3,GC20P006972,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-371
MK280073-372,"",RNA Gene,"",3,GC20M009101,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-372
MK280073-373,"",RNA Gene,"",3,GC20M009102,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-373
MK280073-374,"",RNA Gene,"",3,GC20M009103,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-374
MK280073-375,"",RNA Gene,"",3,GC20M012128,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-375
MK280073-376,"",RNA Gene,"",3,GC20M012363,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-376
MK280073-377,"",RNA Gene,"",3,GC20M012453,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-377
MK280073-378,"",RNA Gene,"",3,GC20P012495,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-378
MK280073-379,"",RNA Gene,"",3,GC20P014274,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-379
MK280073-380,"",RNA Gene,"",3,GC20M014465,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-380
MK280073-381,"",RNA Gene,"",3,GC20P015135,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-381
MK280073-382,"",RNA Gene,"",3,GC20M018865,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-382
MK280073-383,"",RNA Gene,"",3,GC20M021487,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-383
MK280073-385,"",RNA Gene,"",3,GC20P021930,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-385
MK280073-386,"",RNA Gene,"",3,GC20P022013,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-386
MK280073-387,"",RNA Gene,"",3,GC20P023615,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-387
MK280073-388,"",RNA Gene,"",3,GC20M023901,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-388
MK280073-390,"",RNA Gene,"",3,GC20P024983,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-390
MK280073-391,"",RNA Gene,"",3,GC20P025514,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-391
MK280073-395,"",RNA Gene,"",3,GC20P031337,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-395
MK280073-398,"",RNA Gene,"",3,GC20P054789,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-398
MK280073-399,"",RNA Gene,"",3,GC20M055278,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-399
MK280073-402,"",RNA Gene,"",3,GC21P014964,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-402
MK280073-403,"",RNA Gene,"",3,GC21M010353,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-403
MK280073-404,"",RNA Gene,"",3,GC21P014965,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-404
MK280073-405,"",RNA Gene,"",3,GC21M015043,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-405
MK280073-406,"",RNA Gene,"",3,GC21P014966,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-406
MK280073-407,"",RNA Gene,"",3,GC21P014953,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-407
MK280073-409,"",RNA Gene,"",3,GC21M015918,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-409
MK280073-410,"",RNA Gene,"",3,GC21P017166,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-410
MK280073-411,"",RNA Gene,"",3,GC21M018438,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-411
MK280073-412,"",RNA Gene,"",3,GC21M018895,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-412
MK280073-413,"",RNA Gene,"",3,GC21P019814,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-413
MK280073-415,"",RNA Gene,"",3,GC21P025923,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-415
MK280073-416,"",RNA Gene,"",3,GC21P028751,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-416
MK280073-417,"",RNA Gene,"",3,GC21M033981,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-417
MK280073-418,"",RNA Gene,"",3,GC21M035497,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-418
MK280073-419,"",RNA Gene,"",3,GC21P036620,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-419
MK280073-420,"",RNA Gene,"",3,GC21P037112,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-420
MK280073-427,"",RNA Gene,"",3,GC22P015499,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-427
MK280073-428,"",RNA Gene,"",3,GC22P055407,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-428
MK280073-430,"",RNA Gene,"",3,GC22P055409,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-430
MK280073-431,"",RNA Gene,"",3,GC22P055410,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-431
MK280073-432,"",RNA Gene,"",3,GC22M017297,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-432
MK280073-433,"",RNA Gene,"",3,GC22P055411,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-433
MK280073-435,"",RNA Gene,"",3,GC22P055413,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-435
MK280073-436,"",RNA Gene,"",3,GC22P055414,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-436
MK280073-437,"",RNA Gene,"",3,GC22M068999,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-437
MK280073-438,"",RNA Gene,"",3,GC22M069000,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-438
MK280073-439,"",RNA Gene,"",3,GC22P055415,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-439
MK280073-440,"",RNA Gene,"",3,GC22M069001,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-440
MK280073-441,"",RNA Gene,"",3,GC22M069002,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-441
MK280073-442,"",RNA Gene,"",3,GC22M069003,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-442
MK280073-443,"",RNA Gene,"",3,GC22P055416,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-443
MK280073-444,"",RNA Gene,"",3,GC22M069004,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-444
MK280073-446,"",RNA Gene,"",3,GC03M002670,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-446
MK280073-447,"",RNA Gene,"",3,GC03P008925,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-447
MK280073-448,"",RNA Gene,"",3,GC03M011916,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-448
MK280073-449,"",RNA Gene,"",3,GC03M023639,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-449
MK280073-450,"",RNA Gene,"",3,GC03P019789,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-450
MK280073-451,"",RNA Gene,"",3,GC03P026886,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-451
MK280073-452,"",RNA Gene,"",3,GC03P035230,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-452
MK280073-454,"",RNA Gene,"",3,GC03P042243,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-454
MK280073-457,"",RNA Gene,"",3,GC03M074454,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-457
MK280073-458,"",RNA Gene,"",3,GC03P076396,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-458
MK280073-459,"",RNA Gene,"",3,GC03P098410,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-459
MK280073-462,"",RNA Gene,"",3,GC03M109512,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-462
MK280073-463,"",RNA Gene,"",3,GC03M120377,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-463
MK280073-469,"",RNA Gene,"",3,GC03M157195,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-469
MK280073-471,"",RNA Gene,"",3,GC03M170688,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-471
MK280073-472,"",RNA Gene,"",3,GC03P171628,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-472
MK280073-474,"",RNA Gene,"",3,GC03M175788,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-474
MK280073-477,"",RNA Gene,"",3,GC04M005057,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-477
MK280073-478,"",RNA Gene,"",3,GC04M005175,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-478
MK280073-479,"",RNA Gene,"",3,GC04M005529,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-479
MK280073-480,"",RNA Gene,"",3,GC04M014424,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-480
MK280073-481,"",RNA Gene,"",3,GC04M018602,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-481
MK280073-482,"",RNA Gene,"",3,GC04P021830,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-482
MK280073-483,"",RNA Gene,"",3,GC04P022144,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-483
MK280073-484,"",RNA Gene,"",3,GC04P022308,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-484
MK280073-485,"",RNA Gene,"",3,GC04P024942,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-485
MK280073-488,"",RNA Gene,"",3,GC04P039250,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-488
MK280073-491,"",RNA Gene,"",3,GC04P059185,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-491
MK280073-492,"",RNA Gene,"",3,GC04P059210,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-492
MK280073-494,"",RNA Gene,"",3,GC04P097781,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-494
MK280073-497,"",RNA Gene,"",3,GC04M122943,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-497
MK280073-498,"",RNA Gene,"",3,GC04M123002,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-498
MK280073-502,"",RNA Gene,"",3,GC04P187054,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-502
MK280073-503,"",RNA Gene,"",3,GC04P189967,8.76839542388916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-503
